id,name,geometry,buildstart,opening,closure,city_id
1058,"",POINT(121.520861540145 31.189598814908),2005,2009,999999,107
1035,"",POINT(121.367608126877 31.326542196457),2005,2010,999999,107
1036,"",POINT(121.383395068596 31.3222687589128),2005,2009,999999,107
1066,"",POINT(121.493607983182 31.3610894375027),1997,2006,999999,107
1037,"",POINT(121.393998540778 31.3231714443834),2005,2009,999999,107
1059,"",POINT(121.535527271711 31.1896427267962),2005,2009,999999,107
1038,"",POINT(121.404156563219 31.3160588793252),2005,2009,999999,107
1039,"",POINT(121.408815504779 31.3055531860622),2005,2009,999999,107
1065,"",POINT(121.495703071404 31.3469440052731),1997,2006,999999,107
1060,"",POINT(121.54518699909 31.1964460203442),2005,2009,999999,107
1040,"",POINT(121.411823646811 31.2953304878428),2005,2009,999999,107
1041,"",POINT(121.41696290732 31.2865230994934),2005,2009,999999,107
1042,"",POINT(121.418353587939 31.2761108197891),2005,2009,999999,107
1061,"",POINT(121.554228670558 31.2053268603767),2005,2009,999999,107
1043,"",POINT(121.417966688244 31.2662107071069),2005,2009,999999,107
1082,"",POINT(121.486366323922 31.278591090343),2001,2007,999999,107
1045,"",POINT(121.427024577647 31.2485433589165),2005,2009,999999,107
1062,"",POINT(121.557548186274 31.2151007715922),2005,2009,999999,107
1046,"",POINT(121.433954798548 31.2412065301376),2005,2009,999999,107
1054,"",POINT(121.481588783604 31.1770231276129),2005,2009,999999,107
1047,"",POINT(121.437917166465 31.2360006504393),2005,2009,999999,107
1044,"",POINT(121.417185868337 31.2580143160329),2005,2009,999999,107
1096,"",POINT(121.476001444461 31.1553053059483),0,2009,999999,107
1049,"",POINT(121.444529474516 31.2151161806537),2005,2009,999999,107
1073,"",POINT(121.527645376519 31.3236353786115),2001,2007,999999,107
1050,"",POINT(121.445341882289 31.2021764519015),2005,2009,999999,107
1051,"",POINT(121.449798405411 31.193158451529),2005,2009,999999,107
1052,"",POINT(121.453073497472 31.1875018926271),2005,2009,999999,107
1053,"",POINT(121.46837189727 31.1736237048027),2005,2009,999999,107
1064,"",POINT(121.486751435141 31.3338943596637),1997,2006,999999,107
1074,"",POINT(121.527589198125 31.3166251136879),2001,2007,999999,107
1090,"",POINT(121.481501828885 31.2141310493103),2001,2007,999999,107
1083,"",POINT(121.474506768611 31.2717804336044),2001,2007,999999,107
1075,"",POINT(121.52759010087 31.3074762522212),2001,2007,999999,107
1084,"",POINT(121.465216158342 31.266572153938),2001,2007,999999,107
1076,"",POINT(121.528739400024 31.2980441591202),2001,2007,999999,107
1085,"",POINT(121.464081757188 31.2555288856081),2001,2007,999999,107
1077,"",POINT(121.530622772107 31.2911113246405),2001,2007,999999,107
1091,"",POINT(121.485085819374 31.204240979403),2001,2007,999999,107
1086,"",POINT(121.467007614411 31.244844775606),2001,2007,999999,107
1078,"",POINT(121.52448306593 31.2811759338492),2001,2007,999999,107
1080,"",POINT(121.50545869576 31.2749996887098),2001,2007,999999,107
1087,"",POINT(121.470605799424 31.2356954182491),2001,2007,999999,107
1081,"",POINT(121.496748902833 31.2769883587121),2001,2007,999999,107
1088,"",POINT(121.475433415539 31.2282042007866),2001,2007,999999,107
1092,"",POINT(121.488938371723 31.1873950198058),2001,2007,999999,107
1089,"",POINT(121.478084412824 31.221567016925),2001,2007,999999,107
1093,"",POINT(121.489991120715 31.1808652749825),2001,2007,999999,107
1048,"",POINT(121.443453578447 31.2249932957856),2005,2009,999999,107
1094,"",POINT(121.49181947591 31.173030342266),2001,2009,999999,107
1099,"",POINT(121.501775649553 31.0983249398672),0,2009,999999,107
1097,"",POINT(121.485103198254 31.1429784185933),0,2009,999999,107
1098,"",POINT(121.493949422079 31.1204524473488),0,2009,999999,107
1101,"",POINT(121.507683146653 31.0641153902817),0,2009,999999,107
1100,"",POINT(121.50608068063 31.0761650165066),0,2009,999999,107
1079,"",POINT(121.514162730762 31.2771033551801),2001,2007,999999,107
1102,"",POINT(121.568823548998 31.355174478726),2002,2007,999999,107
1103,"",POINT(121.582687573111 31.3500509011813),2002,2007,999999,107
1104,"",POINT(121.588464706535 31.3400736875705),2002,2007,999999,107
1105,"",POINT(121.597539015447 31.3240456771395),2002,2007,999999,107
1106,"",POINT(121.585096533815 31.3140909775314),2002,2007,999999,107
1107,"",POINT(121.584988421103 31.3045536099828),2002,2007,999999,107
1108,"",POINT(121.5846592616 31.2927541979552),2002,2007,999999,107
1109,"",POINT(121.584271100954 31.2833381717907),2002,2007,999999,107
1110,"",POINT(121.583730703188 31.2739518700238),2002,2007,999999,107
1111,"",POINT(121.582456177201 31.2662134356996),2002,2007,999999,107
863,"

Putney Bridge",POINT(-0.208943099779106 51.4680104839472),1878,1880,999999,69
890,"

Kensington (Olympia)",POINT(-0.209917410442358 51.4978775123416),2007,2007,999999,69
1063,"",POINT(121.480304600592 31.32145129032),1997,2006,999999,107
1780,"",POINT(116.444819199177 39.9219756406081),2007,2012,999999,15
2119,"",POINT(0.084589919435075 51.48976109673),1859,1859,999999,69
1782,"",POINT(116.47129022014 39.9217671145512),2007,2012,999999,15
1981,"",POINT(116.300310939925 39.9733553747851),2013,2019,999999,15
1117,"",POINT(121.529673936669 31.2349741305194),2002,2007,999999,107
1784,"",POINT(116.513358051298 39.9219822336812),2007,2012,999999,15
1786,"",POINT(116.574660255677 39.9236791852348),2007,2012,999999,15
1788,"",POINT(116.609414288337 39.9234959701971),2007,2012,999999,15
1985,"",POINT(116.327810311935 39.9301245746206),2013,2019,999999,15
1928,"",POINT(0.115050366437714 51.6945237582709),1949,1949,999999,69
1930,"",POINT(0.0903181586271842 51.5754629243499),1935,1947,999999,69
1988,"",POINT(116.328214448421 39.9072398651472),2013,2019,999999,15
1933,"",POINT(116.461836275085 39.9976790600893),2010,2014,999999,15
1935,"",POINT(116.466028900653 39.9903283746535),2010,2014,999999,15
2121,"",POINT(0.101618337221964 51.4648508497759),1891,1895,999999,69
1939,"",POINT(116.480682050662 39.9570157429006),2010,2014,999999,15
1991,"",POINT(116.323086360663 39.8653650993274),2013,2019,999999,15
1941,"",POINT(-0.224665351519064 51.4935972919872),1862,1864,999999,69
4490,Frankfurter Tor,POINT(13.4540554916182 52.5158115679826),0,1930,999999,19
1945,"",POINT(116.472067131738 39.9216464252473),2009,2014,999999,15
1996,"",POINT(116.253117400322 39.8371804318304),2013,2019,999999,15
1943,"",POINT(-0.102731359288128 51.5195346381062),1862,1864,999999,69
1948,"",POINT(116.471382415682 39.8928082432113),2010,2015,999999,15
2093,"",POINT(-0.183703552490186 51.5233138005728),1906,1915,999999,69
1951,"",POINT(116.451760343559 39.8643685997905),2010,2015,999999,15
1953,"",POINT(116.415939294332 39.8641581493363),2010,2015,999999,15
2123,"",POINT(0.159579601744753 51.4649843808211),1891,1895,999999,69
1956,"",POINT(116.381633964564 39.8693954110936),2010,2015,999999,15
2095,"",POINT(-0.193853054329878 51.5347682852054),1906,1915,999999,69
1959,"",POINT(116.349329329732 39.8601348385744),2010,2019,999999,15
1962,"",POINT(116.315174555924 39.8661395185271),2010,2019,999999,15
2101,"",POINT(-0.100547226652935 51.5207166688118),2011,2018,999999,69
1965,"",POINT(116.271181714344 39.8639259484287),2010,2013,999999,15
2137,"",POINT(0.0708300442797167 51.4920842661451),2011,2018,999999,69
1969,"",POINT(116.179033302649 39.8557883244534),2013,2015,999999,15
2103,"",POINT(-0.149324229766421 51.5128283799373),2011,2018,999999,69
1972,"",POINT(116.18278511928 40.067199651981),2013,2016,999999,15
1975,"",POINT(116.242975908537 40.0629262183755),2013,2016,999999,15
1978,"",POINT(116.276940106284 40.0194347694441),2013,2016,999999,15
2125,"",POINT(0.079276746457424 51.4592342665434),1936,1936,999999,69
2106,"",POINT(-0.0610042686814722 51.5199190725397),1880,1884,999999,69
2109,"",POINT(-0.0160360943796718 51.5059385098135),2011,2018,999999,69
